Country,Year,Access to electricity (% of population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Cooling Degree Days,GDP growth (annual %),Government Effectiveness: Estimate,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate
Nigeria,2005,46.86516953,73.56466506,26.08928283,5.235746606,6029.39,6.438516525,-0.901512623,14.05,1.27,33.3117616,8.969767442,-1.666500449,-0.792749345,-1.35421598,-0.868943334
Nigeria,2006,47.61001587,73.74397049,24.73499126,5.317285068,5997.56,6.059428031,-0.972157061,10.48,1.1,33.4374877,9.109457364,-2.034077644,-0.947573066,-1.075395942,-0.623297811
Nigeria,2007,50.13092041,73.92327591,24.66257721,5.398823529,5705.11,6.591130361,-1.039311171,9.99,2.11,33.1875399,9.249147287,-2.014056444,-0.894971669,-1.06105268,-0.760439932
Nigeria,2008,50.29999924,74.10258133,25.27975078,5.480361991,5599.36,6.764472778,-0.995108604,3.22,3.93,33.5621175,9.388837209,-1.860711932,-0.815719306,-1.038304806,-0.735603809
Nigeria,2009,49.88250732,74.28188676,26.74885451,5.561900452,6029.48,8.036925102,-1.204816937,10.2,0.12,33.4373877,9.528527132,-1.994553804,-0.760188282,-1.156107783,-0.848863244
Nigeria,2010,48,74.46119218,23.89370409,5.643438914,6182.06,8.005655915,-1.169436932,26.1,0.5,33.5621364,9.668217054,-2.211123228,-0.743477106,-1.158836246,-0.77708143
Nigeria,2011,55.90000153,74.6404976,22.23471099,5.643438914,5856.45,5.307924204,-1.106270552,12.31,1.42,33.8123553,9.668217054,-1.956454515,-0.699536264,-1.17883873,-0.713411033
Nigeria,2012,53.23124313,74.81980302,21.85995862,5.643438914,5714.56,4.230061175,-1.002810359,8.86,1.58,33.3120551,9.668217054,-2.042073727,-0.723069429,-1.138828754,-0.70021987
Nigeria,2013,55.59999847,74.99910845,20.75862283,5.643438914,5867.41,6.671335393,-0.999358833,15.14,0.86,34.4371157,9.668217054,-2.088478327,-0.681769371,-1.120073915,-0.693028212
Nigeria,2014,54.04822922,75.17841387,19.99025477,5.643438914,5772.47,6.309718656,-1.190599918,11.6,0.47,34.0627893,9.668217054,-2.130276442,-0.837622762,-1.055568933,-0.587156057
Nigeria,2015,52.5,75.35771929,20.63189348,5.643438914,5880.07,2.652693295,-0.971849918,11.51,5.74,33.9368835,9.668217054,-1.925442815,-0.866751492,-0.967466533,-0.372613758
Nigeria,2016,59.29999924,75.53702043,20.98310971,5.643438914,5984.11,-1.61686895,-1.094462991,24.7,0.76,34.0620705,9.668217054,-1.877709866,-0.9317137,-1.026061773,-0.319362521
Nigeria,2017,54.40000153,75.71631696,20.84657143,5.643438914,5957.86,0.80588662,-1.020086169,13.03,0.2,33.9375734,9.668217054,-1.999155045,-0.901708126,-0.874379098,-0.339918911
Nigeria,2018,56.5,75.8956158,21.20377372,5.643438914,5830.69,1.922757342,-1.097488046,12.43,0.58,33.8119449,9.668217054,-2.101823092,-0.864204466,-0.903242588,-0.43050319
Nigeria,2019,55.40000153,76.07491463,21.90629593,5.643438914,5866.32,2.208429277,-1.184433699,18.29,0.24,34.3127069,9.668217054,-1.920183301,-0.925423801,-0.922569573,-0.434370816
Nigeria,2020,55.40000153,76.25421347,24.14330587,5.643438914,5891.83,-1.794253082,-1.115896702,19.51,3.17,34.3121679,9.668217054,-1.87046504,-1.009439349,-0.82598722,-0.580638468
Nigeria,2021,,,23.35705876,,,3.647186541,-0.995998681,,,35.1876053,,-1.779303193,-0.932637811,-0.855664015,-0.636555552
Nigeria,2022,,,23.69187184,,,3.251681408,,,,,,,,,
