Country,Region,Year,log_gni_cap_1000usd_2011ppp,hdi,perc_emp_women_agric,perc_emp_men_agric,avg_yrs_school_female
Nigeria,Abia,2005,8.46,0.566,26.5,18.3,6.348
Nigeria,Abuja FCT,2005,8.906,0.543,8.88,10.3,5.065
Nigeria,Adamawa,2005,7.782,0.432,30.1,44.8,2.251
Nigeria,Akwa Ibom,2005,8.224,0.535,28.7,26.1,5.981
Nigeria,Anambra,2005,8.692,0.585,18.6,13.2,7.217
Nigeria,Bauchi,2005,7.634,0.318,7.24,49,1.038
Nigeria,Bayelsa,2005,7.739,0.481,50.3,28.7,4.762
Nigeria,Benue,2005,7.854,0.481,72.5,65.5,3.179
Nigeria,Borno,2005,8.051,0.377,35.2,32.7,1.948
Nigeria,Cross River,2005,7.997,0.537,57.4,42.1,5.343
Nigeria,Delta,2005,8.376,0.547,24.1,17.1,5.838
Nigeria,Ebonyi,2005,7.686,0.454,62,56.6,2.624
Nigeria,Edo,2005,8.443,0.537,29,21.2,5.041
Nigeria,Ekiti,2005,8.253,0.545,19,35.8,5.814
Nigeria,Enugu,2005,8.343,0.55,41.8,36.5,5.329
Nigeria,Gombe,2005,7.791,0.405,29.9,56.5,2.299
Nigeria,Imo,2005,8.884,0.635,11.6,12.9,8.015
Nigeria,Jigawa,2005,7.491,0.288,13.8,67.5,0.615
Nigeria,Kaduna,2005,8.413,0.473,17,56.8,3.439
Nigeria,Kano,2005,8.258,0.409,1.69,19.9,1.535
Nigeria,Katsina,2005,8.038,0.374,4.25,41,1.144
Nigeria,Kebbi,2005,7.77,0.335,21.2,66.4,0.956
Nigeria,Kogi,2005,8.296,0.544,18.9,33.5,4.025
Nigeria,Kwara,2005,8.353,0.568,15.8,33.8,4.115
Nigeria,Lagos,2005,9.036,0.626,1.04,3.08,8.865
Nigeria,Nasarawa,2005,8.045,0.467,41.1,53.6,2.565
Nigeria,Niger,2005,8.052,0.432,11.2,48.1,1.595
Nigeria,Ogun,2005,8.245,0.52,29.7,39.1,5.448
Nigeria,Ondo,2005,8.077,0.546,38.5,57.8,5.121
Nigeria,Osun,2005,8.286,0.543,18.8,35.1,4.431
Nigeria,Oyo,2005,8.277,0.566,18.8,31.2,5.001
Nigeria,Plateau,2005,8.019,0.504,56.1,46.2,4.269
Nigeria,Rivers,2005,8.511,0.548,20.4,19.3,7.171
Nigeria,Sokoto,2005,7.511,0.28,12.1,46.9,0.455
Nigeria,Taraba,2005,7.723,0.392,28.1,60.9,1.936
Nigeria,Yobe,2005,8.049,0.38,11,31.6,1.389
Nigeria,Zamfora,2005,7.796,0.351,2.33,45,0.389
Sierra Leone,Bo,2005,7.049,0.365,66.1,52.7,1.763
Sierra Leone,Bombali,2005,6.975,0.386,41.5,35.4,1.357
Sierra Leone,Bonthe,2005,6.873,0.324,49,60.1,1.371
Sierra Leone,Kailahun,2005,6.824,0.353,84.2,77.8,1.049
Sierra Leone,Kambia,2005,6.976,0.333,67,76.7,0.462
Sierra Leone,Kenema,2005,7.016,0.362,73.4,61.8,1.371
Sierra Leone,Koinadugu,2005,6.83,0.278,91,86,0.406
Sierra Leone,Kono,2005,6.883,0.353,69,53.7,1.189
Sierra Leone,Moyamba,2005,6.781,0.329,84.3,82.3,1.455
Sierra Leone,Port Loko,2005,6.934,0.352,63.8,72.7,1.161
Sierra Leone,Pujehun,2005,6.849,0.287,81.1,102,0.811
Sierra Leone,Tonkolili,2005,6.8,0.308,87.9,89.1,0.615
Sierra Leone,Western Rural,2005,7.476,0.403,9.1,32,3.595
Sierra Leone,Western Urban,2005,7.935,0.521,0.01,3.54,7.582
Uganda,Central 1 (Central South),2005,7.389,0.466,57.2,40.4,5.484
Uganda,Central 2 (Central North),2005,7.325,0.472,67.7,49.7,5.142
Uganda,East Central (Busoga),2005,7.263,0.468,85.9,54.3,4.375
Uganda,"Eastern (Bukedi, Bugishu, Teso)",2005,7.125,0.461,92.4,57.5,3.691
Uganda,Kampala,2005,8.095,0.588,2.07,3.39,10.08
Uganda,"North (Karamoja, Lango, Acholi)",2005,7.041,0.405,93.6,75.5,2.488
Uganda,"Southwest (Ankole, Kigezi)",2005,7.267,0.434,84,60.1,3.55
Uganda,West Nile,2005,7.114,0.428,69.1,61.9,2.878
Uganda,"Western (Bunyoro, Tooro)",2005,7.209,0.436,88.9,67.9,3.22
Uganda,Central,2005,7.603,0.508666667,42.32333333,31.16333333,6.902
Uganda,Northern,2005,7.0775,0.4165,81.35,68.7,2.683
Uganda,Eastern,2005,7.194,0.4645,89.15,55.9,4.033
Uganda,Western,2005,7.238,0.435,86.45,64,3.385
Nigeria,Abia,2006,8.639,0.568,25,15.8,6.669
Nigeria,Abuja FCT,2006,9.032,0.57,11.5,14.1,6.238
Nigeria,Adamawa,2006,7.861,0.432,35.1,47.9,2.379
Nigeria,Akwa Ibom,2006,8.366,0.542,21.8,22.3,6.344
Nigeria,Anambra,2006,8.803,0.582,17.5,13.5,7.242
Nigeria,Bauchi,2006,7.705,0.322,6.17,50.1,1.086
Nigeria,Bayelsa,2006,7.932,0.494,48.1,27.6,5.098
Nigeria,Benue,2006,7.906,0.481,76.3,66.8,3.234
Nigeria,Borno,2006,8.042,0.357,43.7,39.9,1.649
Nigeria,Cross River,2006,8.051,0.542,58.4,44.1,5.569
Nigeria,Delta,2006,8.507,0.557,26.9,18.8,6.076
Nigeria,Ebonyi,2006,7.849,0.467,58.3,53.5,2.928
Nigeria,Edo,2006,8.616,0.557,28.4,24.2,5.751
Nigeria,Ekiti,2006,8.356,0.559,17.2,36.2,6.16
Nigeria,Enugu,2006,8.37,0.542,37.8,34.3,5.112
Nigeria,Gombe,2006,7.859,0.408,29.3,57.9,2.341
Nigeria,Imo,2006,8.875,0.609,14.1,12.5,7.567
Nigeria,Jigawa,2006,7.605,0.302,9.96,64.1,0.717
Nigeria,Kaduna,2006,8.477,0.482,20.9,57.5,3.625
Nigeria,Kano,2006,8.287,0.412,1.31,22.1,1.671
Nigeria,Katsina,2006,8.059,0.363,6.38,47.9,0.94
Nigeria,Kebbi,2006,7.866,0.343,23.4,67.4,0.998
Nigeria,Kogi,2006,8.378,0.551,20.5,37,4.192
Nigeria,Kwara,2006,8.389,0.557,22.6,40.5,4.262
Nigeria,Lagos,2006,9.174,0.634,1.21,3.54,9.082
Nigeria,Nasarawa,2006,8.142,0.48,50,55,2.825
Nigeria,Niger,2006,8.179,0.43,12.7,53.2,1.751
Nigeria,Ogun,2006,8.32,0.525,29.1,37.8,5.284
Nigeria,Ondo,2006,8.216,0.556,34.4,52.6,5.37
Nigeria,Osun,2006,8.39,0.567,13.6,32.7,4.938
Nigeria,Oyo,2006,8.39,0.565,17.6,30.2,5.11
Nigeria,Plateau,2006,8.034,0.506,57.1,50.2,4.208
Nigeria,Rivers,2006,8.591,0.555,22.4,20.6,7.338
Nigeria,Sokoto,2006,7.653,0.297,8.22,46.4,0.517
Nigeria,Taraba,2006,7.795,0.409,37.1,63.3,2.162
Nigeria,Yobe,2006,7.985,0.366,15.2,41.1,1.216
Nigeria,Zamfora,2006,7.826,0.343,2.43,46.8,0.523
Sierra Leone,Bo,2006,7.062,0.375,62.9,51.2,1.831
Sierra Leone,Bombali,2006,6.988,0.396,44.3,38.8,1.409
Sierra Leone,Bonthe,2006,6.885,0.333,49.6,61.8,1.424
Sierra Leone,Kailahun,2006,6.836,0.362,82.1,76.4,1.09
Sierra Leone,Kambia,2006,6.989,0.342,66.3,76.8,0.479
Sierra Leone,Kenema,2006,7.028,0.371,70.4,60.2,1.424
Sierra Leone,Koinadugu,2006,6.842,0.286,89,84.3,0.421
Sierra Leone,Kono,2006,6.895,0.363,66.3,52.4,1.235
Sierra Leone,Moyamba,2006,6.793,0.338,83.3,81.5,1.511
Sierra Leone,Port Loko,2006,6.946,0.361,61.3,71.2,1.206
Sierra Leone,Pujehun,2006,6.862,0.295,77.7,95.2,0.843
Sierra Leone,Tonkolili,2006,6.812,0.316,83.8,84.7,0.639
Sierra Leone,Western Rural,2006,7.49,0.414,8.94,30.4,3.734
Sierra Leone,Western Urban,2006,7.949,0.534,0.19,4.13,7.875
Uganda,Central 1 (Central South),2006,7.465,0.479,56.4,44.2,5.93
Uganda,Central 2 (Central North),2006,7.4,0.485,66.8,51.9,5.56
Uganda,East Central (Busoga),2006,7.338,0.481,83.3,55.9,4.731
Uganda,"Eastern (Bukedi, Bugishu, Teso)",2006,7.199,0.473,90.7,59.6,3.991
Uganda,Kampala,2006,8.178,0.603,3.11,5.07,10.9
Uganda,"North (Karamoja, Lango, Acholi)",2006,7.114,0.417,88.5,74.9,2.691
Uganda,"Southwest (Ankole, Kigezi)",2006,7.342,0.446,84.2,61.5,3.838
Uganda,West Nile,2006,7.188,0.44,64.9,62.5,3.112
Uganda,"Western (Bunyoro, Tooro)",2006,7.284,0.448,87.4,68.3,3.481
Uganda,Central,2006,7.681,0.522333333,42.10333333,33.72333333,7.463333333
Uganda,Northern,2006,7.151,0.4285,76.7,68.7,2.9015
Uganda,Eastern,2006,7.2685,0.477,87,57.75,4.361
Uganda,Western,2006,7.313,0.447,85.8,64.9,3.6595
Nigeria,Abia,2007,8.726,0.564,23.5,13.2,6.99
Nigeria,Abuja FCT,2007,9.062,0.59,14.2,17.9,7.411
Nigeria,Adamawa,2007,7.856,0.428,40.2,51,2.506
Nigeria,Akwa Ibom,2007,8.418,0.544,14.9,18.4,6.708
Nigeria,Anambra,2007,8.82,0.573,16.4,13.7,7.267
Nigeria,Bauchi,2007,7.693,0.323,5.1,51.2,1.134
Nigeria,Bayelsa,2007,8.042,0.502,45.8,26.5,5.434
Nigeria,Benue,2007,7.872,0.477,80,68.2,3.29
Nigeria,Borno,2007,7.946,0.333,52.3,47.1,1.35
Nigeria,Cross River,2007,8.018,0.542,59.4,46.1,5.794
Nigeria,Delta,2007,8.548,0.562,29.7,20.4,6.313
Nigeria,Ebonyi,2007,7.929,0.476,54.6,50.4,3.232
Nigeria,Edo,2007,8.697,0.572,27.8,27.1,6.461
Nigeria,Ekiti,2007,8.369,0.567,15.4,36.5,6.505
Nigeria,Enugu,2007,8.308,0.53,33.8,32.1,4.895
Nigeria,Gombe,2007,7.843,0.406,28.6,59.3,2.382
Nigeria,Imo,2007,8.77,0.577,16.5,12.2,7.119
Nigeria,Jigawa,2007,7.639,0.311,6.16,60.7,0.819
Nigeria,Kaduna,2007,8.45,0.487,24.7,58.1,3.811
Nigeria,Kano,2007,8.226,0.411,0.92,24.3,1.807
Nigeria,Katsina,2007,7.992,0.348,8.51,54.9,0.735
Nigeria,Kebbi,2007,7.879,0.347,25.6,68.3,1.04
Nigeria,Kogi,2007,8.371,0.552,22.1,40.4,4.36
Nigeria,Kwara,2007,8.335,0.541,29.3,47.2,4.41
Nigeria,Lagos,2007,9.215,0.636,1.39,4.01,9.298
Nigeria,Nasarawa,2007,8.152,0.489,59,56.5,3.085
Nigeria,Niger,2007,8.219,0.424,14.2,58.2,1.907
Nigeria,Ogun,2007,8.305,0.524,28.4,36.4,5.121
Nigeria,Ondo,2007,8.269,0.561,30.3,47.4,5.62
Nigeria,Osun,2007,8.404,0.585,8.46,30.2,5.444
Nigeria,Oyo,2007,8.414,0.558,16.4,29.3,5.219
Nigeria,Plateau,2007,7.963,0.503,58.1,54.3,4.147
Nigeria,Rivers,2007,8.579,0.557,24.5,21.8,7.505
Nigeria,Sokoto,2007,7.714,0.309,4.38,45.8,0.579
Nigeria,Taraba,2007,7.783,0.421,46.1,65.7,2.388
Nigeria,Yobe,2007,7.835,0.348,19.5,50.7,1.044
Nigeria,Zamfora,2007,7.771,0.331,2.53,48.5,0.657
Sierra Leone,Bo,2007,7.178,0.39,59.8,49.6,1.899
Sierra Leone,Bombali,2007,7.103,0.412,47.2,42.3,1.462
Sierra Leone,Bonthe,2007,6.998,0.347,50.2,63.4,1.477
Sierra Leone,Kailahun,2007,6.949,0.377,80.1,75.1,1.13
Sierra Leone,Kambia,2007,7.104,0.355,65.6,76.8,0.497
Sierra Leone,Kenema,2007,7.144,0.386,67.4,58.5,1.477
Sierra Leone,Koinadugu,2007,6.955,0.298,87.1,82.6,0.437
Sierra Leone,Kono,2007,7.009,0.377,63.7,51.2,1.281
Sierra Leone,Moyamba,2007,6.905,0.351,82.2,80.7,1.567
Sierra Leone,Port Loko,2007,7.061,0.376,58.7,69.8,1.251
Sierra Leone,Pujehun,2007,6.975,0.307,74.4,88.4,0.874
Sierra Leone,Tonkolili,2007,6.925,0.329,79.6,80.4,0.663
Sierra Leone,Western Rural,2007,7.613,0.43,8.78,28.8,3.873
Sierra Leone,Western Urban,2007,8.081,0.554,0.37,4.72,8.168
Uganda,Central 1 (Central South),2007,7.523,0.489,55.6,48.1,6.263
Uganda,Central 2 (Central North),2007,7.455,0.495,65.9,54,5.895
