#wpdx_id,#lat_deg,#lon_deg,#clean_country_name,#status_clean,#clean_adm1,#clean_adm2,#clean_adm3,#clean_adm4,#water_source_clean,#water_tech_clean,#subjective_quality_clean
6CW8FPV9+835,8.493265556,-13.28225361,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Bad color
6CW8FQ54+P2W,8.459352222,-13.244915,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Hand Pump - India Mark,Acceptable quality
6CW88R55+6WF,8.308053056,-13.19019389,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQRQ+5Q6,8.490403333,-13.21061667,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQJ2+66V,8.480621667,-13.2494575,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Motorized Pump,Not Reported
6CW8FQJP+8W4,8.48076956,-13.2126763,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQP4+6C2,8.485515278,-13.24397722,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FPX6+JFF,8.499061667,-13.28884111,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRJ6+94H,7.880925278,-11.18962806,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCXWW8+4Q2,7.995361111,-11.08312028,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CP3P+CMV,8.4036,-13.26331972,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Not Reported
6CVFV6H6+8H5,7.878252222,-10.78851972,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVQ7R+PPM,7.864339722,-11.20819944,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
6CVFV6G5+XMC,7.877446944,-10.79085583,Sierra Leone,1,Eastern,Kailahun,Malema,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQQ9+JV7,8.489048333,-13.2303425,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVFX578+452,7.962764444,-10.83461889,Sierra Leone,1,Eastern,Kailahun,Jawie,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FRF2+C94,8.473520278,-13.19903278,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Hand Pump - India Mark,Not Reported
6CWC3V2W+MX2,8.051626667,-11.10260667,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8FQMG+WRM,8.484840556,-13.22295417,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CWCGWX6+678,8.548040833,-11.08931083,Sierra Leone,1,Eastern,Kono,Nimikoro,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CW8CR9R+4JM,8.417828056,-13.15845833,Sierra Leone,1,Western,Western Rural,Freetown2,Not Reported,Piped Water,Public Tapstand,Bad color
6CW86WJ7+X4G,8.232438889,-13.08718694,Sierra Leone,1,Western,Western Rural,Freetown4,Not Reported,Piped Water,Rope and Bucket,Acceptable quality
6CW8FPMX+76W,8.483245556,-13.25193528,Sierra Leone,1,Western,Western Urban,Freetown1,Not Reported,Piped Water,Public Tapstand,Acceptable quality
6CVCVRX6+MM3,7.899108333,-11.18831611,Sierra Leone,1,Eastern,Kenema,Nongowa,Not Reported,Piped Water,Hydram Pump,Acceptable quality
